Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;R4,R6;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;2;470;
2;C26,C7,C29,C20,C19,C18,C25,C15,C27,C17,C30,C28,C23,C31;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;14;100nF;
3;H2,H4,H1,H3;MountingHole_3.2mm_M3_DIN965;4;MountingHole;
4;C3,C21,C4,C5,C13,C22,C16;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;7;10uF;
5;R31,R32,R30;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;3;2k;
6;R19,R16,R22,R34,R20,R35,R17,R23,R21,R18,R33;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;11;10k;
7;J5;TE_1-84952-6_1x16-1MP_P1.0mm_Horizontal;1;Conn_01x16_Pin;
8;U4,U6,U5;QFN50P500X500X100-33N-D;3;TLC59401RHBR;
9;C10,C8;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;2;10uF;
10;J9;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C_Receptacle_USB2.0;
11;J2,J3,J1;FFC3B1120T;3;FFC3B11-20-T;
12;R11,R10,R8,R9;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;4;62;
13;JP2,JP1;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;2;Jumper_2_Open;
14;D4,D2;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;GREEN;
15;R5,R7,R2;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;3;330;
16;R25,R24;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;2;27;
17;F3,F5,F2,F7,F8,F4,F1,F6;Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder;8;Polyfuse;
18;U9,U8,U7;QFN50P300X300X100-17N-D;3;PCA9670BS,118;
19;Y1;Crystal_SMD_3215-2Pin_3.2x1.5mm;1;32.768mHz;
20;D8;D_SMB_Handsoldering;1;D_Schottky;
21;J6,J7;SHDRRA6W70P0X250_1X6_1670X750X510P;2;1778667;
22;SW1,SW2,SW4,SW3;SW_SPST_B3U-1000P;4;SW_Push;
23;D1;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;BLUE;
24;D3;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;RED;
25;F9;0031.7701.11;1;Fuse;
26;C12;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;1;1uF;
27;C6,C14;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;1uF;
28;JP3,JP5,JP4;SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm;3;Jumper_3_Open;
29;IC1;SOIC127P600X175-14N;1;SN74AHCT125DR;
30;FB1,FB2;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;FerriteBead;
31;C24;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;1;4.7uF;
32;R1,R15,R12,R14,R3,R13;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;6;4.7k;
33;U3;SOT-23-5;1;AP2112K-3.3;
34;J8;2X5-PTH-1.27MM;1;CORTEX_DEBUGPTH;
35;D7;SOT-143;1;PRTR5V0U2X;
36;U1;QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm;1;ATSAMD21J18A-M;
37;R28,R29;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;2;5.1k 1%;
38;C2,C1;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;2;22pF;
39;FID1,FID2,FID3;Fiducial_1mm_Mask2mm;3;Fiducial;
40;J10;TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal;1;Conn_01x02_Socket;
41;C11;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;100uF;
42;D5;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;ORANGE;
43;R27;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;1;100k;
44;C9;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;4.7nF 1kV;
45;U2;SON127P600X500X75-9N-D;1;IS25LP032D-JLLE;
46;D6;LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm;1;WS2812B;
47;J4;SHDRRA4W60P0X250_1X4_1170X750X510P;1;1778641;
48;R26;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder;1;1m;
