"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U9,U8,U7";"QFN50P300X300X100-17N-D";3;"PCA9670BS,118";;;
2;"U6,U5,U4";"QFN50P500X500X100-33N-D";3;"TLC59401RHBR";;;
3;"U2";"SON127P600X500X75-9N-D";1;"IS25LP032D-JLLE";;;
4;"J8";"SHDRRA4W60P0X250_1X4_1170X750X510P";1;"1778641";;;
5;"J7";"2X3_POGO";1;"M03X2POGO_PINS";;;
6;"J6,J5";"SHDRRA6W70P0X250_1X6_1670X750X510P";2;"1778667";;;
7;"IC1";"SOIC127P600X175-14N";1;"SN74AHCT125DR";;;
8;"D7";"D_SOD-923";1;"ESD9B5.0ST5G";;;
9;"R4,R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"470";;;
10;"C23,C4,C26,C17,C16,C15,C22,C12,C24,C14,C27,C25,C20,C28";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";14;"100nF";;;
11;"H2,H4,H1,H3";"MountingHole_3.2mm_M3_DIN965";4;"MountingHole";;;
12;"R23,R24,R22";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"2k";;;
13;"R14,R17,R26,R27,R25";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";5;"10k";;;
14;"J4";"TE_1-84952-6_1x16-1MP_P1.0mm_Horizontal";1;"Conn_01x16_Pin";;;
15;"C8,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
16;"J2,J3,J1";"FFC3B1120T";3;"FFC3B11-20-T";;;
17;"R11,R10,R8,R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"62";;;
18;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7nF 1kV";;;
19;"C18,C10,C19,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"10uF";;;
20;"JP2,JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"Jumper_2_Open";;;
21;"D4,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"GREEN";;;
22;"R5,R7,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"330";;;
23;"R19,R18";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"27";;;
24;"F3,F5,F2,F7,F8,F4,F1,F6";"Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"Polyfuse";;;
25;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768mHz";;;
26;"D9";"D_SMB_Handsoldering";1;"D_Schottky";;;
27;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"BLUE";;;
28;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
29;"F9";"0031.7701.11";1;"Fuse";;;
30;"C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
31;"C3,C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"1uF";;;
32;"JP3,JP5,JP4";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";3;"Jumper_3_Open";;;
33;"C21";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7uF";;;
34;"R1,R13,R15,R12,R3,R16";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";6;"4.7k";;;
35;"U3";"SOT-23-5";1;"AP2112K-3.3";;;
36;"FB1,FB2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"FerriteBead";;;
37;"R20";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1M";;;
38;"SW1";"PTS810SJG250SMTRLFS";1;"SW_Push";;;
39;"J10";"USB_Mini-B_Wuerth_65100516121_Horizontal";1;"USB_B_Mini";;;
40;"D8";"SOT-143";1;"PRTR5V0U2X";;;
41;"U1";"QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm";1;"ATSAMD21J18A-M";;;
42;"C2,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"22pF";;;
43;"FID1,FID2,FID3";"Fiducial_1mm_Mask2mm";3;"Fiducial";;;
44;"J11";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";1;"Conn_01x02_Socket";;;
45;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100uF";;;
46;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"ORANGE";;;
47;"R21";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100k";;;
48;"D6";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
49;"J9";"2X5-PTH-1.27MM";1;"CORTEX_DEBUGPTH";;;
