Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22pF,
"C10, C13, C18, C19",0603,4,10uF,
"C11, C3",0603,2,1uF,
"C12, C14, C15, C16, C17, C20, C22, C23, C24, C25, C26, C27, C28, C4",0603,14,100nF,
C21,0603,1,4.7uF,
"C5, C8",1206,2,10uF,
C6,0805,1,4.7nF 1kV,
C7,0805,1,100uF,
C9,1206,1,1uF,
D1,0805,1,BLUE,
"D2, D4",0805,2,GREEN,
D3,0805,1,RED,
D5,0805,1,ORANGE,
D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D7,D_SOD-923,1,ESD9B5.0ST5G,
D8,SOT-143,1,PRTR5V0U2X,
D9,D_SMB_Handsoldering,1,D_Schottky,
"F1, F2, F3, F4, F5, F6, F7, F8",0805,8,Polyfuse,
F9,0031.7701.11,1,Fuse,
"FB1, FB2",0805,2,FerriteBead,
"FID1, FID2, FID3",Fiducial_1mm_Mask2mm,3,Fiducial,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965,4,MountingHole,
IC1,SOIC127P600X175-14N,1,SN74AHCT125DR,
"J1, J2, J3",FFC3B1120T,3,FFC3B11-20-T,
J10,USB_Mini-B_Wuerth_65100516121_Horizontal,1,USB_B_Mini,
J11,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Conn_01x02_Socket,
J4,TE_1-84952-6_1x16-1MP_P1.0mm_Horizontal,1,Conn_01x16_Pin,
"J5, J6",SHDRRA6W70P0X250_1X6_1670X750X510P,2,1778667,
J7,2X3_POGO,1,M03X2POGO_PINS,
J8,SHDRRA4W60P0X250_1X4_1170X750X510P,1,1778641,
J9,2X5-PTH-1.27MM,1,CORTEX_DEBUGPTH,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,
"JP3, JP4, JP5",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_3_Open,
"R1, R12, R13, R15, R16, R3",0603,6,4.7k,
"R10, R11, R8, R9",0603,4,62,
"R14, R17, R25, R26, R27",0603,5,10k,
"R18, R19",0603,2,27,
"R2, R5, R7",0603,3,330,
R20,0603,1,1M,
R21,0603,1,100k,
"R22, R23, R24",0603,3,2k,
"R4, R6",0603,2,470,
SW1,PTS810SJG250SMTRLFS,1,SW_Push,
U1,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm,1,ATSAMD21J18A-M,
U2,SON127P600X500X75-9N-D,1,IS25LP032D-JLLE,
U3,SOT-23-5,1,AP2112K-3.3,
"U4, U5, U6",QFN50P500X500X100-33N-D,3,TLC59401RHBR,
"U7, U8, U9",QFN50P300X300X100-17N-D,3,"PCA9670BS,118",
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768mHz,
