Designator,Mid X,Mid Y,Rotation,Layer
C1,165.651283,-99.633783,315.0,top
C10,166.0,-107.2325,180.0,top
C11,159.0,-97.7075,90.0,top
C12,166.0,-105.7325,0.0,top
C13,166.0,-104.2325,0.0,top
C14,148.0,-104.9825,180.0,top
C15,161.75,-115.2325,270.0,top
C16,157.5,-97.7325,90.0,top
C17,153.5,-115.2325,270.0,top
C18,156.0,-97.7325,90.0,top
C19,152.0,-115.2325,270.0,top
C2,163.848717,-97.831217,135.0,top
C20,201.0,-81.74,0.0,top
C21,201.0,-83.5,0.0,top
C22,129.8,-108.8,0.0,top
C23,188.25,-88.3875,270.0,top
C24,156.486,-88.31,270.0,top
C25,124.5,-88.2405,270.0,top
C26,181.75,-82.75,0.0,top
C27,151.0,-82.5,0.0,top
C28,118.75,-82.0,0.0,top
C3,141.5,-91.25,90.0,top
C4,141.3625,-98.07,0.0,top
C5,166.9375,-119.625,0.0,top
C6,166.3375,-131.7,0.0,top
C7,153.26,-122.2625,270.0,top
C8,166.9375,-126.375,180.0,top
C9,166.9375,-129.125,180.0,top
D1,145.75,-129.07625,90.0,top
D2,140.96125,-129.05125,90.0,top
D3,148.0,-129.07625,90.0,top
D4,174.25,-129.12,90.0,top
D5,176.63875,-129.12,90.0,top
D6,146.0,-91.25,0.0,top
D7,160.6,-123.5,180.0,top
D8,158.01,-122.3,0.0,top
D9,129.0,-115.0,0.0,top
F1,200.7,-78.875,90.0,top
F2,197.3,-78.9,90.0,top
F3,169.4,-78.725,90.0,top
F4,166.0,-78.725,90.0,top
F5,137.3,-78.9,90.0,top
F6,133.8,-78.9,90.0,top
F7,124.75,-107.5,0.0,top
F8,124.775,-110.8,0.0,top
F9,128.5,-121.5,180.0,top
FB1,155.26,-122.275,90.0,top
FB2,154.25,-97.7325,270.0,top
FID1,116.75,-88.9,0.0,top
FID2,193.8,-88.9,0.0,top
FID3,138.5,-121.25,0.0,top
IC1,131.7,-103.2,180.0,top
J1,188.75,-71.8,180.0,top
J10,156.575,-128.575,0.0,top
J11,117.95,-120.5,270.0,top
J2,156.75,-71.78,180.0,top
J3,124.75,-71.8,180.0,top
J4,118.1,-103.2,270.0,top
J5,198.0375,-92.3,270.0,top
J6,198.075,-110.9375,270.0,top
J8,182.0,-126.619,180.0,top
R1,178.5,-88.3375,90.0,top
R10,124.75,-102.7,180.0,top
R11,124.75,-105.7,180.0,top
R12,194.75,-120.0,0.0,top
R13,194.75,-122.5,180.0,top
R14,169.104765,-111.104765,315.0,top
R15,187.0,-123.3375,270.0,top
R16,189.5,-123.3375,90.0,top
R17,141.3375,-96.4825,0.0,top
R18,157.25,-115.2325,90.0,top
R19,158.75,-115.2325,90.0,top
R2,145.75,-125.32625,270.0,top
R20,151.5,-122.5,90.0,top
R21,163.6875,-122.875,270.0,top
R22,186.726,-88.3875,270.0,top
R23,154.962,-88.31,270.0,top
R24,123.0,-88.2155,270.0,top
R25,174.8,-88.3875,270.0,top
R26,138.9,-88.2875,270.0,top
R27,113.8,-88.2,270.0,top
R3,180.0,-88.3375,270.0,top
R4,140.96125,-125.30125,270.0,top
R5,148.0,-125.32625,270.0,top
R6,174.25,-125.37,270.0,top
R7,176.63875,-125.37,270.0,top
R8,124.75,-96.7,180.0,top
R9,124.75,-99.7,180.0,top
SW1,166.25,-113.5,315.0,top
U1,156.75,-106.57,270.0,top
U2,147.4,-98.3275,0.0,top
U3,167.05,-122.825,0.0,top
U4,188.75,-82.25,180.0,top
U5,156.736,-82.28,180.0,top
U6,124.75,-82.128,180.0,top
U7,177.75,-82.5,270.0,top
U8,146.73,-82.23,270.0,top
U9,114.75,-82.225,270.0,top
Y1,163.5,-99.9825,135.0,top
